ProductID,Quarter,UnitsSold,LaunchPrice,CurrentPrice,MarketingSpend,AvgRating,ReviewVolume,SentimentScore,LaunchQuarter,RAM,Storage,ProcessorScore,CameraMP,Battery,Is5G,PremiumMaterial,GDPGrowth,IndustryGrowth,SeasonIndex,5GPenetration
P001,1,12554,32260,25779.112601836685,521240,3.474453583471989,2809,-0.5493344045749435,4,6,256,7,30,3953,0,0,6.122993032419987,5.892043287120562,1,10.0
P001,2,3605,20622,17453.284113683338,287210,3.1757752490802877,2497,-0.6532528094104904,4,6,256,7,30,3953,0,0,7.066644035801772,10.353355640155236,0,16.363636363636363
P001,3,29446,73504,53222.05037233401,518034,3.036484962856722,4424,0.9647572338172128,4,6,256,7,30,3953,0,0,6.497697392051524,7.332164115498012,1,22.727272727272727
P001,4,40110,31389,25718.786819534034,784106,4.73101425178796,745,0.950134325890285,4,6,256,7,30,3953,0,0,2.1828329164015647,8.429268642782603,0,29.09090909090909
P001,5,48685,33935,31113.943711657987,360669,4.858751978255172,946,0.07007346408982107,4,6,256,7,30,3953,0,0,7.2032898864483395,9.739699414305562,0,35.45454545454545
P001,6,50153,61514,58535.17025480998,237541,4.935988133008468,1910,-0.6009861453233605,4,6,256,7,30,3953,0,0,4.1248800247587525,8.551043032793046,1,41.81818181818181
P001,7,47587,51976,44644.88951345852,954016,4.221240084883265,4515,-0.8254196408206491,4,6,256,7,30,3953,0,0,4.382982995024495,11.488228402915759,1,48.18181818181818
P001,8,3917,35618,34891.546052752245,467436,4.065178865103172,3844,-0.26153903698020775,4,6,256,7,30,3953,0,0,2.629214999194885,9.795821017542501,1,54.54545454545455
P001,9,2009,31644,22752.43126969208,401953,3.644707689949446,3813,-0.8242637775146864,4,6,256,7,30,3953,0,0,6.424431236562914,10.841994847141692,1,60.90909090909091
P001,10,3342,78076,54716.69685480196,872042,3.9463324021037844,2138,0.5885788999329249,4,6,256,7,30,3953,0,0,3.093703270855748,12.368224753949129,1,67.27272727272727
P001,11,44078,55752,53255.32720525121,636507,4.930053821333026,4529,0.8658761341999093,4,6,256,7,30,3953,0,0,5.383790552113018,10.577422659504375,0,73.63636363636363
P001,12,38298,20256,15424.954999331512,435842,3.132992534733555,3491,0.1489462263598238,4,6,256,7,30,3953,0,0,7.044259915267586,10.86535434660759,1,80.0
P002,1,7951,36852,27341.667487029605,535048,4.501003849530627,1414,-0.6714684041380141,5,12,64,8,69,5539,1,1,6.122993032419987,5.892043287120562,1,10.0
P002,2,21282,38930,34652.66626568795,749789,3.7176609682470048,1165,-0.21510978515472923,5,12,64,8,69,5539,1,1,7.066644035801772,10.353355640155236,0,16.363636363636363
P002,3,45303,74207,61720.96524808106,139711,3.9253595713392126,4770,0.005440780184958305,5,12,64,8,69,5539,1,1,6.497697392051524,7.332164115498012,1,22.727272727272727
P002,4,21096,17192,16674.045819120915,538774,4.063714959376348,3787,-0.5419492181504073,5,12,64,8,69,5539,1,1,2.1828329164015647,8.429268642782603,0,29.09090909090909
P002,5,13302,16970,14075.90977670763,323810,4.255416106142835,2135,0.4829218222780909,5,12,64,8,69,5539,1,1,7.2032898864483395,9.739699414305562,0,35.45454545454545
P002,6,2922,48187,48153.64422505667,984152,3.6234441355910967,1050,-0.7137440289030608,5,12,64,8,69,5539,1,1,4.1248800247587525,8.551043032793046,1,41.81818181818181
P002,7,4243,34029,31109.96599619621,465060,4.753531273523499,3012,-0.79416793851171,5,12,64,8,69,5539,1,1,4.382982995024495,11.488228402915759,1,48.18181818181818
P002,8,57180,38710,31496.25484081246,302967,4.207915744145025,3328,0.07972127422567343,5,12,64,8,69,5539,1,1,2.629214999194885,9.795821017542501,1,54.54545454545455
P002,9,16382,33755,30942.390633832383,382753,3.024406144636089,2774,0.38789688893420005,5,12,64,8,69,5539,1,1,6.424431236562914,10.841994847141692,1,60.90909090909091
P002,10,35561,74178,65255.040066135756,695603,3.3631954336028516,3019,0.16678358953224093,5,12,64,8,69,5539,1,1,3.093703270855748,12.368224753949129,1,67.27272727272727
P002,11,14999,70318,58968.79723019444,176077,4.229900526305309,2365,0.17245966403359447,5,12,64,8,69,5539,1,1,5.383790552113018,10.577422659504375,0,73.63636363636363
P002,12,46241,32368,25143.6132205118,191751,4.7442478178883025,3631,-0.7955746715496008,5,12,64,8,69,5539,1,1,7.044259915267586,10.86535434660759,1,80.0
P003,1,17343,61403,57536.17009199908,415172,4.414477268626797,3277,0.542493337039476,3,4,256,5,107,5960,1,0,6.122993032419987,5.892043287120562,1,10.0
P003,2,46409,70176,58052.338196794866,598716,3.208493932103619,3468,0.8511370258135527,3,4,256,5,107,5960,1,0,7.066644035801772,10.353355640155236,0,16.363636363636363
P003,3,15718,49560,36375.623265560345,232717,3.3726417589882414,3130,0.8416837652347446,3,4,256,5,107,5960,1,0,6.497697392051524,7.332164115498012,1,22.727272727272727
P003,4,36622,68173,58332.32406053671,430388,3.758611396771098,1432,-0.32960551670819815,3,4,256,5,107,5960,1,0,2.1828329164015647,8.429268642782603,0,29.09090909090909
P003,5,54659,54224,38032.15004462047,113224,3.2285346001113755,636,0.7270362812259139,3,4,256,5,107,5960,1,0,7.2032898864483395,9.739699414305562,0,35.45454545454545
P003,6,9973,23577,19797.843535173197,632954,4.4750024962194965,3700,0.17413644827313446,3,4,256,5,107,5960,1,0,4.1248800247587525,8.551043032793046,1,41.81818181818181
